0;Les-Ardoines
0;Les-Baconnets
0;Les-Boullereaux-Champigny
0;Les-Clairières-de-Verneuil
0;Les-Grésillons
0;Les-Mureaux
0;Les-Noues
0;Les-Saules
0;Les-Vallées
0;Les-Yvris-Noisy-le-Grand
0;Les-Essarts-le-Roi
0;Liancourt-Saint-Pierre
0;Lieusaint-Moissy
0;Limay
0;Livry-sur-Seine
0;Lizy-sur-Ourcq
0;Lognes
0;Longueville
0;Louveciennes
0;Louvres
0;Lozère
0;Luxembourg
0;Luzarches
0;Magenta
0;Maintenon
0;Maisons-Alfort-Alfortville
0;Maisons-Laffitte
0;Maisse
0;Malesherbes
0;Mantes-Station
0;Mantes-la-Jolie
0;Marchezais---Broué
0;Mareil-sur-Mauldre
0;Mareuil-sur-Ourcq
0;Marles-en-Brie
0;Marly-le-Roi
0;Marne-la-Vallée-Chessy
0;Marolles-en-Hurepoix
0;Massy-Palaiseau
0;Massy-Verrières
0;Maule
0;Maurecourt
0;Meaux
0;Melun
0;Mennecy
0;Mériel
0;Méry-sur-Oise
0;Meudon
0;Meudon-Val-Fleury
0;Meulan-Hardricourt
0;Mitry-Claye
0;Monnerville
0;Montargis
2;Montereau
0;Montfort-L'Amaury-Méré
0;Montgeron-Crosne
0;Montgeroult-Courcelles
0;Montigny-Beauchamp
0;Montigny-sur-Loing
0;Montparnasse
0;Montreuil
0;Montry-Condé
0;Montsoult-Maffliers
0;Moret-Veneux-les-Sablons
0;Mormant
0;Mortcerf
0;Moulin-Galant
0;Mouroux
0;Musée-d'Orsay
0;Nangis
0;Nanterre-Préfecture
0;Nanterre-Université
0;Nanterre-Ville
0;Nanteuil-Saâcy
0;Nanteuil-le-Haudouin
0;Nation
0;Nemours-Saint-Pierre
0;Neuilly-Porte-Maillot
0;Neuilly-Plaisance
3;Neuville-Université
0;Nézel-Aulnay
0;Nogent-l'Artaud-Charly
0;Nogent-le-Perreux
0;Nogent-sur-Marne
0;Nointel-Mours
0;Noisiel
0;Noisy-Champs
0;Noisy-le-Grand-Mont-d'Est
0;Noisy-le-Sec
0;Orangis-Bois-de-l'Epine
0;Orgerus-Béhoust
0;Orly-Ville
0;Ormoy-Villers
0;Orry-la-Ville-Coye-la-Forêt
0;Orsay-Ville
0;Osny
0;Ozoir-la-Ferrière
0;Palaiseau
0;Palaiseau-Villebon
0;Pantin
0;Parc-de-Sceaux
0;Parc-des-Expositions
0;Paris-Bercy
0;Pereire-Levallois
0;Persan-Beaumont
0;Petit-Jouy-les-Loges
0;Pierrefitte-Stains
0;Pierrelaye
0;Plaisir-Grignon
0;Plaisir-les-Clayes
1;Poissy
0;Pont-de-Rungis
0;Pont-de-l'Alma
1;Pont-du-Garigliano
0;Pont-Cardinet
0;Pont-Petit
0;Pont-sur-Yonne
0;Ponthierry-Pringy
1;Pontoise
0;Porchefontaine
0;Port-Royal
0;Porte-de-Clichy
0;Précy-Sur-Oise
0;Presles-Courcelles
0;Provins
0;Puteaux
0;Rambouillet
0;Ris-Orangis
0;Robinson
0;Roissy-en-Brie
0;Rosa-Parks
0;Rosny-Bois-Perrier
0;Rosny-sous-Bois
0;Rosny-sur-Seine
0;Rueil-Malmaison
0;Rungis-La-Fraternelle
0;Saint-Chéron
0;Saint-Cloud
0;Saint-Cyr
0;Saint-Denis
0;Saint-Fargeau
0;Saint-Germain-en-Laye
0;Saint-Gratien
0;Saint-Julien-du-Sault
0;Saint-Lazare
0;Saint-Leu-d’Esserent
0;Saint-Leu-la-Foret
0;Saint-Mammès
0;Saint-Martin-d'Etampes
0;Saint-Maur-Créteil
0;Saint-Michel
0;Saint-Michel-sur-Orge
0;Saint-Nom-la-Bretèche---Forêt-De-Marly
0;Saint-Ouen
0;Saint-Ouen-l'Aumône
0;Saint-Ouen-l'Aumône---Quartier-de-l'Eglise
0;Saint-Ouen-l'Aumône-Liesse
0;Saint-Piat
0;Saint-Quentin-en-Yvelines
0;Saint-Rémy-lès-Chevreuse
0;Sainte-Colombe-Septveilles
0;Sainte-Geneviève-des-Bois
0;Sannois
0;Santeuil-le-Perchay
0;Sarcelles-Saint-Brice
17;Sartrouville
0;Savigny-le-Temple-Nandy
0;Savigny-sur-Orge
0;Sceaux
0;Sens
0;Sermaise
0;Seugy
0;Sevran-Beaudottes
0;Sevran-Livry
0;Sèvres-Rive-Gauche
1;Sèvres-Ville-d'Avray
0;Souppes-Château-Landon
0;Stade-de-France-Saint-Denis
0;Sucy-Bonneuil
0;Suresnes-Mont-Valérien
0;Survilliers-Fosses
0;Tacoignières-Richebourg
0;Taverny
0;Terminal-2---Gare-TGV
0;Terminal-3---Roissypole
0;Thieux-Nantouillet
0;Thomery
0;Thun-Le-Paradis
0;Torcy
0;Tournan
0;Trappes
0;Trie-Chateau
0;Triel-sur-Seine
0;Trilport
0;Us
0;Vaires-Torcy
0;Val-d'Argenteuil
0;Val-d'Europe
0;Val-de-Fontenay
0;Valmondois
0;Vanves-Malakoff
0;Vauboyen
0;Vaucelles
0;Vaucresson
0;Vaux-Sur-Seine
0;Verneuil-l'Etang
0;Vernon
0;Vernou-sur-Seine
0;Vernouillet-Verneuil
0;Versailles-Château
1;Versailles-Rive-Droite
0;Versailles-Chantiers
0;Vert-Galant
0;Viarmes
0;Vigneux-sur-Seine
0;Villabé
0;Villaines
0;Villeneuve-Saint-Georges
0;Villeneuve-Triage
0;Villeneuve-la-Guyard
0;Villeneuve-le-Roi
0;Villeneuve-sur-Yonne
0;Villennes-sur-Seine
0;Villeparisis-Mitry-le-Neuf
0;Villepinte
0;Villepreux-les-Clayes
0;Villiers-Montbarbin
0;Villiers-Neauphle-Pontchartrain
0;Villiers-le-Bel-Gonesse-Arnouville
0;Villiers-sur-Marne---Plessis-Trévise
0;Vincennes
0;Viroflay-Rive-Droite
0;Viroflay-Rive-Gauche
0;Viry-Châtillon
0;Vitry-sur-Seine
0;Vosves
0;Voves
0;Vulaines-sur-Seine-Samoreau
1;Yerres
